agency,county
155th security forces squadron,York County
adams co so hastings,Adams County
airport auth police lincoln,Lancaster County
albion pd,Boone County
alliance pd,Box Butte County
alma pd,Harlan County
ansley mason city police department,Custer County
antelope co so neligh,Antelope County
arthur co so arthur,Arthur County
ashland pd,Saunders County
atkinson pd,Holt County
auburn pd,Nemaha County
aurora pd,Hamilton County
bancroft police department,Cuming County
banner co so harrisburg,Banner County
battle creek pd,Madison County
bayard pd,Morrill County
beatrice pd,Gage County
beemer pd,Cuming County
bellevue pd,Sarpy County
benkelman pd,Dundy County
bennington pd,Douglas County
bia div law enf winnebago agency macy,York County
blaine co so brewster,Blaine County
blair pd,Washington County
bloomfield police department bloomfield,Knox County
boone co so albion,Boone County
box butte co so alliance,Box Butte County
boyd co so butte,Boyd County
boys town pd,Douglas County
bridgeport pd,Morrill County
broken bow pd,Custer County
brown co so ainsworth,Brown County
buffalo co so kearney,Buffalo County
burt co so tekamah,Burt County
burwell pd,Garfield County
butler co so david city,Butler County
carrier enforcement division - scales,York County
cass co so plattsmouth,Cass County
cedar co so hartington,Cedar County
central city pd,Merrick County
chadron pd,Dawes County
chappell pd,Deuel County
chase co so imperial,Chase County
cherry co so valentine,Cherry County
cheyenne co so sidney,Cheyenne County
clay co so clay center,Clay County
colfax co so schuyler,Colfax County
columbus pd,Platte County
cozad pd,Dawson County
crawford pd,Dawes County
creighton pd,Knox County
crete pd,Saline County
crofton police department crofton,Knox County
cuming co so west point,Cuming County
custer co so broken bow,Custer County
dakota city pd,Custer County
dakota law enforcement center,Custer County
david city pd,Butler County
dawes co so chadron,Dawes County
dawson co so lexington,Dawson County
decatur pd,Burt County
dept of vet affairs medical ctr police,York County
deuel co so chappell,Deuel County
dixon co so ponca,Dixon County
dodge co so fremont,Dodge County
dodge snyder police department,Dodge County
douglas co so omaha,Douglas County
douglas co so wrnts division,Douglas County
douglas county sheriff's office,Douglas County
dundy co so benkelman,Dundy County
elkhorn pd,Douglas County
fairbury pd,Jefferson County
fairmont police department fairmont,Fillmore County
falls city pd,Richardson County
fbi omaha,York County
fillmore co so geneva,Fillmore County
franklin co so franklin,Franklin County
franklin pd,Franklin County
fremont pd,Dodge County
friend pd,Saline County
frontier co so stockville,Frontier County
furnas co so beaver city,Furnas County
gage co so beatrice,Gage County
garden co so oshkosh,Garden County
garfield co so burwell,Garfield County
gering pd,Scotts Bluff County
gibbon pd,Buffalo County
gordon pd,Sheridan County
gosper co so elwood,Gosper County
gothenburg pd,Dawson County
grand island pd,Hall County
grant co so hyannis,Grant County
greeley co so greeley,Greeley County
gretna pd,Sarpy County
hall co so grand island,Hall County
hamilton co so aurora,Hamilton County
harlan co so alma,Harlan County
hartington pd,Cedar County
harvard pd,Clay County
hastings pd,Adams County
hayes co so hayes center,Hayes County
hebron pd,Thayer County
hemingford police department,Box Butte County
henderson police department,York County
hitchcock co so trenton,Hitchcock County
holdrege pd,Phelps County
holt co so o'neill,Holt County
hooker co so mullen,Hooker County
hooper police department,Dodge County
howard co so st paul,Howard County
imperial pd,Chase County
jefferson co so fairbury,Jefferson County
johnson co so tecumseh,Johnson County
kearney co so minden,Kearney County
kearney pd,Buffalo County
keith co so ogallala,Keith County
keya paha co so springview,Keya Paha County
kimball co so kimball,Kimball County
kimball pd,Kimball County
knox co so center,Knox County
la vista pd omaha,Sarpy County
lancaster co so lincoln,Lancaster County
laurel pd,Cedar County
lexington pd,Dawson County
lincoln airport authority,Lancaster County
lincoln co so north platte,Lincoln County
lincoln pd,Lancaster County
lincoln police department,Lancaster County
logan co so stapleton,Logan County
loup co so taylor,Loup County
lyman pd,Scotts Bluff County
lynch pd,Boyd County
lyons pd,Burt County
madison co so madison,Madison County
madison pd,Madison County
mc pherson co so tryon,McPherson County
mccook pd,Red Willow County
merrick co so central city,Merrick County
milford pd,Seward County
millard pd,Douglas County
minatare pd,Scotts Bluff County
minden pd,Kearney County
mitchell pd,Scotts Bluff County
morrill co so bridgeport,Morrill County
morrill pd,Scotts Bluff County
nance co so fullerton,Nance County
nebraska city pd,Otoe County
nebraska department of insurance,Lancaster County
nebraska state patrol,York County
neligh pd,Antelope County
nemaha co so auburn,Nemaha County
newman grove pd,Madison County
niobrara police department niobrara,Knox County
norfolk pd,Madison County
north bend pd,Dodge County
north platte pd,Lincoln County
nuckolls co so nelson,Nuckolls County
o'neill pd,Holt County
oakland pd,Burt County
ogallala pd,Keith County
omaha pd,Douglas County
omaha police department,Douglas County
omaha tribal pd,Thurston County
ord pd,Valley County
osceola pd,Polk County
osmond pd,Pierce County
otoe co so nebraska city,Otoe County
papillion pd,Sarpy County
park and recreation dept pd,Lancaster County
pawnee co so pawnee city,Pawnee County
perkins co so grant,Perkins County
phelps co so holdrege,Phelps County
pierce co so pierce,Pierce County
pierce pd,Pierce County
plainview pd,Pierce County
platte co so columbus,Platte County
plattsmouth pd,Cass County
polk co so osceola,Polk County
ralston pd,Douglas County
randolph pd,Cedar County
ravenna pd,Buffalo County
red willow co so mccook,Red Willow County
richardson co so falls city,Richardson County
rock co so bassett,Rock County
saline co so wilber,Saline County
sargent pd,Custer County
sarpy co so papillion,Sarpy County
saunders co so wahoo,Saunders County
schuyler pd,Colfax County
