agency,county
CREEK COUNTY SHERIFFS OFFICE,Creek
EL RENO POLICE DEPARTMENT,Canadian
HOLDENVILLE POLICE DEPARTMENT,Hughes
HUGO POLICE DEPARTMENT,Choctaw
LAWTON POLICE DEPARTMENT,Comanche
LEFLORE COUNTY SHERIFF OFFICE,LeFlore
LEXINGTON POLICE DEPARTMENT,Cleveland
MUSCOGEE NATION TRIBAL POLICE,Okmulgee
NORMAN POLICE DEPARTMENT,Cleveland
OKLAHOMA CITY POLICE DEPARTMENT,Oklahoma
PONCA CITY POLICE DEPARTMENT,Kay
SHAWNEE POLICE DEPARTMENT,Pottawatomie
TULSA POLICE DEPARTMENT,Tulsa
WARR ACRES POLICE DEPARTMENT,Oklahoma
WOODWARD COUNTY SHERIFF OFFICE,Woodward
