agency,county,source
Aberdeen Police Dept,Brown,municipal
Alcester Police Dept,Union,municipal
Arlington Police Dept,Kingsbury,municipal
Armour Police Dept,Douglas,municipal
Aurora Co. Sheriff's Office,Aurora,sheriff
Avon Police Dept,Bon Homme,municipal
Beadle Co. Sheriff's Office,Beadle,sheriff
Belle Fourche Police Dept,Butte,municipal
Bennett Co. Sheriff's Office,Bennett,sheriff
Beresford Police Dept,Union,municipal
Big Stone City Police Dept,Grant,municipal
Bison Police Dept,Perkins,municipal
Bon Homme Co. Sheriff's Office,Bon Homme,sheriff
Bonesteel Police Dept,Gregory,municipal
Box Elder Police Dept,Pennington,municipal
Brandon Police Dept,Minnehaha,municipal
Bridgewater Police Dept,McCook,municipal
Brookings Co. Sheriff's Office,Brookings,sheriff
Brookings Police Dept,Brookings,municipal
Brown Co. Sheriff's Office,Brown,sheriff
Brule Co. Sheriff's Office,Brule,sheriff
Bryant Police Dept,Hamlin,municipal
Buffalo Co. Sheriff's Office,Buffalo,sheriff
Buffalo Police Dept,Harding,municipal
Bureau of Indian Affairs,Statewide / not county-specific,special
Burke Police Dept,Gregory,municipal
Butte Co. Sheriff's Office,Butte,sheriff
Campbell Co. Sheriff's Office,Campbell,sheriff
Canistota Police Dept,McCook,municipal
Canova Police Dept,Miner,municipal
Canton Police Dept,Lincoln,municipal
Castlewood Police Dept,Hamlin,municipal
Centerville Police Dept,Turner,municipal
Chamberlain Police Dept,Brule,municipal
Chancellor Police Dept,Turner,municipal
Charles Mix Co. Sheriff's Office,Charles Mix,sheriff
Cheyenne River Sioux Tribal PD,Cheyenne River Sioux Tribal PD,tribal
Clark Co. Sheriff's Office,Clark,sheriff
Clark Police Dept,Clark,municipal
Clay Co. Sheriff's Office,Clay,sheriff
Codington Co. Sheriff's Office,Codington,sheriff
Colman Police Dept,Moody,municipal
Colome Police Dept,Tripp,municipal
Corsica Police Dept,Douglas,municipal
Corson Co. Sheriff's Office,Corson,sheriff
Crow Creek Tribal Police Dept,Crow Creek Tribal Police Dept,tribal
Custer Co. Sheriff's Office,Custer,sheriff
Davison Co. Sheriff's Office,Davison,sheriff
Day Co. Sheriff's Office,Day,sheriff
DCI DCI,Statewide / not county-specific,special
Deadwood PD,Lawrence,municipal
Dell Rapids PD,Minnehaha,municipal
Delmont PD,Douglas,municipal
Desmet PD,Kingsbury,municipal
Deuel Co. Sheriff's Office,Deuel,sheriff
Dewey Co. Sheriff's Office,Dewey,sheriff
Douglas Co. Sheriff's Office,Douglas,sheriff
Dupree PD,Ziebach,municipal
Eagle Butte Police Dept,Dewey,municipal
Edgemont PD,Fall River,municipal
Edmunds Co. Sheriff's Office,Edmunds,sheriff
Elk Point PD,Union,municipal
Elkton PD,Brookings,municipal
Emery PD,Hanson,municipal
Estelline PD,Hamlin,municipal
Eureka PD,McPherson,municipal
Faith PD,Meade,municipal
Fall River Co. Sheriff's Office,Fall River,sheriff
Faulk Co. Sheriff's Office,Faulk,sheriff
Flandreau PD,Moody,municipal
Flandreau Tribal PD,Flandreau Tribal PD,tribal
Freeman PD,Hutchinson,municipal
Ft Pierre PD,Stanley,municipal
Garretson PD,Minnehaha,municipal
Gettysburg PD,Potter,municipal
Glenham PD,Walworth,municipal
Grant Co. Sheriff's Office,Grant,sheriff
Gregory Co. Sheriff's Office,Gregory,sheriff
Gregory PD,Gregory,municipal
Groton Police Dept,Brown,municipal
Haakon Co. Sheriff's Office,Haakon,sheriff
Hamlin Co. Sheriff's Office,Hamlin,sheriff
Hand Co. Sheriff's Office,Hand,sheriff
Hanson Co. Sheriff's Office,Hanson,sheriff
Harding Co. Sheriff's Office,Harding,sheriff
Harrisburg PD,Lincoln,municipal
Hartford PD,Minnehaha,municipal
Hayti PD,Hamlin,municipal
Henry PD,Codington,municipal
Hermosa PD,Custer,municipal
Herreid PD,Campbell,municipal
Highmore PD,Hyde,municipal
Highway Patrol,Statewide / not county-specific,special
Hot Springs Police Dept,Fall River,municipal
Hoven PD,Potter,municipal
Howard PD,Miner,municipal
Hudson PD,Lincoln,municipal
Hughes Co. Sheriff's Office,Hughes,sheriff
Hurley PD,Turner,municipal
Huron Police Dept,Beadle,municipal
Huron Police Dept,Beadle,municipal
Hutchinson Co. Sheriff's Office,Hutchinson,sheriff
Hyde Co. Sheriff's Office,Hyde,sheriff
Ipswich Police Dept,Edmunds,municipal
Irene Police Dept,Clay,municipal
Iroquois Police Dept,Kingsbury,municipal
Isabel Police Dept,Dewey,municipal
Jackson Co. Sheriff's Office,Jackson,sheriff
Jefferson Police Dept,Union,municipal
Jerauld Co. Sheriff's Office,Jerauld,sheriff
Jones Co. Sheriff's Office,Jones,sheriff
Kadoka Police Dept,Jackson,municipal
Kennebec Police Dept,Lyman,municipal
Kimball Police Dept,Brule,municipal
Kingsbury Co. Sheriff's Office,Kingsbury,sheriff
Kyle Oglala Sioux Tribal PD,Kyle Oglala Sioux Tribal PD,tribal
Lake Andes Police Dept,Charles Mix,municipal
Lake Co. Sheriff's Office,Lake,sheriff
Lake Norden Police Dept,Hamlin,municipal
Lake Preston Police Dept,Kingsbury,municipal
Lawrence Co. Sheriff's Office,Lawrence,sheriff
Lead Police Dept,Lawrence,municipal
Lemmon Police Dept,Perkins,municipal
Lennox Police Dept,Lincoln,municipal
Leola Police Dept,McPherson,municipal
Lincoln Co. Sheriff's Office,Lincoln,sheriff
Lower Brule Tribal Police Dept,Lower Brule Tribal Police Dept,tribal
Lyman Co. Sheriff's Office,Lyman,sheriff
Madison Police Dept,Lake,municipal
Marion Police Dept,Turner,municipal
Marshall Co. Sheriff's Office,Marshall,sheriff
Martin Police Dept,Bennett,municipal
McCook Co. Sheriff's Office,McCook,sheriff
McIntosh Police Dept,Corson,municipal
McLaughlin Police Dept,Corson,municipal
McPherson Co. Sheriff's Office,McPherson,sheriff
Meade Co. Sheriff's Office,Meade,sheriff
Mellette Co. Sheriff's Office,Mellette,sheriff
Menno Police Dept,Hutchinson,municipal
Milbank Police Dept,Grant,municipal
Miller Police Dept,Hand,municipal
Miner Co. Sheriff's Office,Miner,sheriff
Minnehaha Co. Sheriff's Office,Minnehaha,sheriff
Mission Police Dept,Todd,municipal
Mitchell Police Dept,Davison,municipal
Mobridge Police Dept,Walworth,municipal
Montrose Police Dept,McCook,municipal
Moody Co. Sheriff's Office,Moody,sheriff
Murdo Police Dept,Jones,municipal
New Effington Police Dept,Roberts,municipal
Newell Police Dept,Butte,municipal
North Sioux City Police Dept,Union,municipal
Oglala Lakota Co. Sheriff's Office,Oglala Lakota,sheriff
Onida Police Dept,Sully,municipal
Parker Police Dept,Turner,municipal
Parkston Police Dept,Hutchinson,municipal
Pennington Co. Sheriff's Office,Pennington,sheriff
Perkins Co. Sheriff's Office,Perkins,sheriff
Philip PD,Haakon,municipal
Pierre Police Dept,Hughes,municipal
Pine Ridge Oglala Sioux Tribal PD,Pine Ridge Oglala Sioux Tribal PD,tribal
Platte Police Dept,Charles Mix,municipal
Potter Co. Sheriff's Office,Potter,sheriff
Rapid City Police Dept,Pennington,municipal
Raymond PD,Clark,municipal
Redfield PD,Spink,municipal
Roberts Co. Sheriff's Office,Roberts,sheriff
Rosebud Sioux Tribal Police Dept,Rosebud Sioux Tribal Police Dept,tribal
Rosholt PD,Roberts,municipal
Salem Police Dept,McCook,municipal
Sanborn Co. Sheriff's Office,Sanborn,sheriff
