age_range,race,county,sex
10-19,Black,Black Hawk,Female
10-19,Black,Dallas,Female
10-19,Black,Polk,Female
10-19,Black,Polk,Male
10-19,Black,Woodbury,Male
10-19,White,Linn,Female
10-19,White,Linn,Female
10-19,White,Polk,Female
10-19,White,Polk,Female
10-19,White,Polk,Female
10-19,White,Polk,Female
10-19,White,Polk,Male
10-19,White,Polk,Male
10-19,White,Scott,Female
10-19,White,Scott,Male
10-19,White,Woodbury,Male
10-19,White,Woodbury,Male
30-39,Black,Scott,Male
40-49,Black,Polk,Male
40-49,White,Webster,Male
50-59,White,Black Hawk,Male
60-69,Black,Polk,Female
