age_range,race,county,sex
10-19,American Indian Or Alaskan Native,Douglas County,F
10-19,Black,Buffalo County,M
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,F
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Douglas County,M
10-19,Black,Sarpy County,M
10-19,White,Colfax County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,F
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Douglas County,M
10-19,White,Lancaster County,M
10-19,White,Sarpy County,M
10-19,White,Sherman County,F
40-49,Unknown,Douglas County,F
40-49,White,Lancaster County,F
40-49,White,Sarpy County,F
60-69,American Indian Or Alaskan Native,Douglas County,M
